ticker,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,url,d_domain[],address1,address2,city,state,zip,country,fullTimeEmployees,,url,TickerSymbol,dk,CorpNameKITTB,CorpAddress,CorpCity,CorpState,CorpZip,CorpCountry,PublicOrPrivate,NumEmployees,Industry,SIC,SIC2,Ticker match
A,"Agilent Technologies, Inc.",65.59,$20.73B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a,,https://crawl.versium.com/finance.php?cmd=readall&ticker=A,agilent.com,5301 Stevens Creek Boulevard,,Santa Clara,CA,95051,United States,15550,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=agilent.com,A,agilent.com,AGILENT TECHNOLOGIES,5301 STEVENS CREEK BLVD,SANTA CLARA,CA,95051,US,Public,13500,Laboratory Equipment and Measurement Devices,3826,38,TRUE
AA,Alcoa Corporation,17.5,$3.25B,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AA,alcoa.com,201 Isabella Street,Suite 500,Pittsburgh,PA,15212,United States,14000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=alcoa.com,AA,alcoa.com,ALCOA,201 ISABELLA ST STE 500,PITTSBURGH,PA,15212,US,Public,14600,"Metal (Foundaries, Mills, Refining, Processing)",3334,33,TRUE
AABA,Altaba Inc.,69.92,$36.32B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,,https://crawl.versium.com/finance.php?cmd=readall&ticker=PTR,petrochina.com.cn,No. 9 Dongzhimen North Street,Dongcheng District,Beijing,,100007,China,476223,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=petrochina.com.cn, , , , , , , , , , , , , ,
AAC,"AAC Holdings, Inc.",0.67,$16.95M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAC,americanaddictioncenters.org,200 Powell Place,,Brentwood,TN,37027,United States,1900,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=americanaddictioncenters.org,,americanaddictioncenters.org,AMERICAN ADDICTION CENTERS,115 E PARK DRIVE SECOND FLOOR,BRENTWOOD,TN,,US,Private,3000,Investment and Holding,6719,67,
AAL,"American Airlines Group, Inc.",26.1,$11.62B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAL,aa.com,4333 Amon Carter Boulevard,,Fort Worth,TX,76155,United States,133800,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=aa.com,AAL,aa.com,AMERICAN AIRLINES,4333 AMON CARTER BLVD,FORT WORTH,TX,,US,Public,126600,Transporation (Airline),4512,45,TRUE
AAMC,Altisource Asset Management Corp,9,$14.32M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAMC,altisourceamc.com,5100 Tamarind Reef,,Christiansted,VI,820,United States,103,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=altisourceamc.com,,altisource.com,ALTISOURCE,,,,,US,Private,10000,Real Estate (Agents/Brokers),6531,65,
AAME,Atlantic American Corporation,2.34,$47.13M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAME,atlam.com,"4370 Peachtree Road, NE",,Atlanta,GA,30319,United States,155,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=atlam.com,AAME,atlam.com,ATLANTIC AMERICAN,4370 PEACHTREE RD NE,ATLANTA,GA,30075,US,Public,142,Insurance and Casualty,6311,64,TRUE
AAN,"Aaron&#39;s,  Inc.",63.85,$4.31B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,,https://crawl.versium.com/finance.php?cmd=readall&ticker=CHL,chinamobileltd.com,The Center,60th Floor 99 Queen's Road,Central,,,Hong Kong,459152,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=chinamobileltd.com, , , , , , , , , , , , , ,
AAOI,"Applied Optoelectronics, Inc.",9.31,$186.47M,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAOI,ao-inc.com,13139 Jess Pirtle Boulevard,,Sugar Land,TX,77478,United States,2956,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=ao-inc.com,AAOI,ao-inc.com,APPLIED OPTOELECTRONICS,13139 JESS PIRTLE BLVD,SUGAR LAND,TX,77478,US,Public,3000,Electronics and Electronic Components,3674,36,TRUE
AAON,"AAON, Inc.",44.38,$2.31B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAON,aaon.com,2425 South Yukon Avenue,,Tulsa,OK,74107,United States,2221,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=aaon.com,AAON,aaon.com,AAON COIL PRODUCTS INC,2425 S YUKON,TULSA,OK,75602,US,Public,965,Refrigeration and Vending Machinery,3585,35,TRUE
AAP,Advance Auto Parts Inc,136.49,$9.79B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAP,advanceautoparts.com,2635 East Millbrook Road,,Raleigh,NC,27604,United States,70000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=advanceautoparts.com,AAP,advanceautoparts.com,ADVANCE AUTO PARTS,2635 E MILLBROOK RD,RALEIGH,NC,,US,Public,0,Retail (Building Materials/Hardware/Garden),5531,55,TRUE
AAPL,Apple Inc.,202.75,$916.26B,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAPL,apple.com,One Apple Park Way,,Cupertino,CA,95014,United States,100000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=apple.com,AAPL,apple.com,APPLE,ONE APPLE PARK WAY,CUPERTINO,CA,95014,US,Public,132000,Computer And Office Equipment,3571,35,TRUE
