url,num-results
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Jason&d_last=Hughes&d_fulladdr=1301 2nd Avenue &d_zip=98101&d_busname=Hughes Marino&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"B0,IN0,IB0,IH0,IJ0,R1"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Jesse&d_last=Mecham&d_fulladdr=770 E Main St&d_zip=84043&d_busname=You Need a Budget (YNAB)&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"AHN0,AS0,B19,IN19,IB2,A0,R1"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Charlie&d_last=Kauffunger&d_fulladdr=7201 Wisconsin Ave&d_zip=20814&d_busname=Educe Group&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"B21,IN21,IB21"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=CHRISTOPHERNASSETTA&d_last=&d_fulladdr=7930 Jones Branch Drive&d_zip=22102&d_busname=Hilton&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"B21,IN21,IB2"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Brent&d_last=Burns&d_fulladdr=100 Jim Moran Blvd.&d_zip=33442&d_busname=JM Family Enterprises, Inc.&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"AHN0,AS0,B14,IN0,IB0,A0,IH0,IJ0,R1"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Jay&d_last=Farner&d_fulladdr=1050 Woodward Avenue,&d_zip=48226&d_busname=Quicken Loans&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"AHN0,AS0,B0,IN0,IB0,A0,IH0,IJ0,R1"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Jim&d_last=Fitterling&d_fulladdr=2211 H.H. Dow Way&d_zip=48674&d_busname=Dow&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"Z0,R1"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Colleen&d_last=Wegman&d_fulladdr=1500 Brooks Avenue &d_zip=14603&d_busname=Wegmans Food Markets&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"B14,IN0,IB0,IH0,IJ0,R0"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Tony&d_last=Khan&d_fulladdr=1 TIAA Bank Field Dr&d_zip=32202&d_busname=All Elite Wrestling&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Steve&d_last=Fischer&d_fulladdr=501 Riverside Ave&d_zip=32202&d_busname=TIAA Bank&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"Z0,AHN0,AS0,A0,ACSZ,R1"
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Matthew&d_last=McRae&d_fulladdr=3030 Orchard Parkway&d_zip=95134&d_busname=ARLO TECHNOLOGIES, INC&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,IB21
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=Henrique&d_last=Dubugras&d_fulladdr=153 Townsend &d_zip=94107&d_busname=Brex&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,
"=HYPERLINK(""https://api2b.versium.com/q2.php?vkey=3b5ac175f8938aec76944acdc8314ec9&d_first=will&d_last=Robinson&d_fulladdr=1600 Amphitheatre Parkway,&d_zip=94043&d_busname=CHRONICLE&prodids=busdircb&cfg_output=stats2,busdircb&cfg_focus=business&cfg_maxrecs=1"")",1,"Z0,AHN0,AS0,A0,ACSZ,R1"
