ticker,BusinessName,SEC filings,GICS�Sector,GICS Sub Industry,Location,Date first added[3][4],CIK,Founded
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",6/5/00,1090872,1999
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201,1934
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/15,1158449,1932
AAPL,Apple Inc,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977
ABBV,AbbVie Inc,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152,2013 (1888)
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,1140859,1985
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/18,815094,1981
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1800,1888
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373,1989
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/99,6281,1965
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/81,7084,1902
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/81,8670,
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,1101215,1996
ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",12/1/89,769397,
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,874761,1981
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,4977,1955
AGN,Allergan Plc,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/99,1578845,1983
AIG,American International Group Inc,reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/80,5272,1919
AIV,Apartment Investment & Management�(Aimco),reports,Real Estate,Residential REITs,"Denver, Colorado",3/14/03,922864,1994 (1975)
AIZ,Assurant�Inc,reports,Financials,Multi-line Insurance,"New York, New York",4/10/07,1267238,
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/16,354190,
